Date,TotalDailyEnergy_GWh,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths
07/12/2018,69.075,0,0,0,0
08/12/2018,61.071,0,0,0,0
09/12/2018,60.584,0,0,0,0
10/12/2018,70.693,0,0,0,0
11/12/2018,71.954,0,0,0,0
12/12/2018,72.247,0,0,0,0
13/12/2018,71.519,0,0,0,0
14/12/2018,70.094,0,0,0,0
15/12/2018,55.616,0,0,0,0
16/12/2018,61.17,0,0,0,0
17/12/2018,71.473,0,0,0,0
18/12/2018,71.695,0,0,0,0
19/12/2018,72.033,0,0,0,0
20/12/2018,72.618,0,0,0,0
21/12/2018,69.678,0,0,0,0
22/12/2018,61.39,0,0,0,0
23/12/2018,61.682,0,0,0,0
24/12/2018,65.26,0,0,0,0
25/12/2018,59.594,0,0,0,0
26/12/2018,64.927,0,0,0,0
27/12/2018,68.094,0,0,0,0
28/12/2018,66.178,0,0,0,0
29/12/2018,61.363,0,0,0,0
30/12/2018,60.215,0,0,0,0
31/12/2018,65.945,0,0,0,0
01/01/2019,61.121,0,0,0,0
02/01/2019,68.553,0,0,0,0
03/01/2019,69.883,0,0,0,0
04/01/2019,68.946,0,0,0,0
05/01/2019,61.873,0,0,0,0
06/01/2019,60.818,0,0,0,0
07/01/2019,70.467,0,0,0,0
08/01/2019,70.07,0,0,0,0
09/01/2019,70.076,0,0,0,0
10/01/2019,69.743,0,0,0,0
11/01/2019,69.538,0,0,0,0
12/01/2019,52.154,0,0,0,0
13/01/2019,59.95,0,0,0,0
14/01/2019,69.542,0,0,0,0
15/01/2019,71.208,0,0,0,0
16/01/2019,71.292,0,0,0,0
17/01/2019,72.085,0,0,0,0
18/01/2019,73.182,0,0,0,0
19/01/2019,60.232,0,0,0,0
20/01/2019,61.034,0,0,0,0
21/01/2019,72.855,0,0,0,0
22/01/2019,72.907,0,0,0,0
23/01/2019,72.048,0,0,0,0
24/01/2019,71.202,0,0,0,0
25/01/2019,69.914,0,0,0,0
26/01/2019,60.89,0,0,0,0
27/01/2019,60.461,0,0,0,0
28/01/2019,70.934,0,0,0,0
29/01/2019,72.353,0,0,0,0
30/01/2019,69.599,0,0,0,0
31/01/2019,72.394,0,0,0,0
01/02/2019,71.934,0,0,0,0
02/02/2019,62.655,0,0,0,0
03/02/2019,62.874,0,0,0,0
04/02/2019,72.249,0,0,0,0
05/02/2019,70.374,0,0,0,0
06/02/2019,72.051,0,0,0,0
07/02/2019,69.975,0,0,0,0
08/02/2019,69.911,0,0,0,0
09/02/2019,51.959,0,0,0,0
10/02/2019,60.515,0,0,0,0
11/02/2019,70.197,0,0,0,0
12/02/2019,70.424,0,0,0,0
13/02/2019,69.645,0,0,0,0
14/02/2019,69.441,0,0,0,0
15/02/2019,68.578,0,0,0,0
16/02/2019,61.156,0,0,0,0
17/02/2019,60.129,0,0,0,0
18/02/2019,70.536,0,0,0,0
19/02/2019,71.426,0,0,0,0
20/02/2019,70.606,0,0,0,0
21/02/2019,69.929,0,0,0,0
22/02/2019,69.133,0,0,0,0
23/02/2019,60.413,0,0,0,0
24/02/2019,60.329,0,0,0,0
25/02/2019,69.342,0,0,0,0
26/02/2019,69.858,0,0,0,0
27/02/2019,69.649,0,0,0,0
28/02/2019,69.293,0,0,0,0
01/03/2019,69.597,0,0,0,0
02/03/2019,61.452,0,0,0,0
03/03/2019,61.552,0,0,0,0
04/03/2019,71.755,0,0,0,0
05/03/2019,70.841,0,0,0,0
06/03/2019,70.591,0,0,0,0
07/03/2019,69.592,0,0,0,0
08/03/2019,69.911,0,0,0,0
09/03/2019,53.118,0,0,0,0
10/03/2019,62.219,0,0,0,0
11/03/2019,71.254,0,0,0,0
12/03/2019,72.138,0,0,0,0
13/03/2019,72.101,0,0,0,0
14/03/2019,71.696,0,0,0,0
15/03/2019,70.022,0,0,0,0
16/03/2019,61.249,0,0,0,0
17/03/2019,60.644,0,0,0,0
18/03/2019,61.231,0,0,0,0
19/03/2019,69.994,0,0,0,0
20/03/2019,69.132,0,0,0,0
21/03/2019,69.042,0,0,0,0
22/03/2019,68.001,0,0,0,0
23/03/2019,60.271,0,0,0,0
24/03/2019,60.521,0,0,0,0
25/03/2019,69.725,0,0,0,0
26/03/2019,69.319,0,0,0,0
27/03/2019,69.563,0,0,0,0
28/03/2019,70.537,0,0,0,0
29/03/2019,69.172,0,0,0,0
30/03/2019,59.504,0,0,0,0
31/03/2019,56.757,0,0,0,0
01/04/2019,68.346,0,0,0,0
02/04/2019,71.355,0,0,0,0
03/04/2019,70.929,0,0,0,0
04/04/2019,70.289,0,0,0,0
05/04/2019,68.931,0,0,0,0
06/04/2019,59.626,0,0,0,0
07/04/2019,59.53,0,0,0,0
08/04/2019,70.297,0,0,0,0
09/04/2019,72.559,0,0,0,0
10/04/2019,72.544,0,0,0,0
11/04/2019,68.854,0,0,0,0
12/04/2019,67.7,0,0,0,0
13/04/2019,52.688,0,0,0,0
14/04/2019,59.019,0,0,0,0
15/04/2019,68.996,0,0,0,0
16/04/2019,69.405,0,0,0,0
17/04/2019,69.059,0,0,0,0
18/04/2019,70.089,0,0,0,0
19/04/2019,67.915,0,0,0,0
20/04/2019,60.896,0,0,0,0
21/04/2019,59.753,0,0,0,0
22/04/2019,61.098,0,0,0,0
23/04/2019,68.96,0,0,0,0
24/04/2019,67.954,0,0,0,0
25/04/2019,67.046,0,0,0,0
26/04/2019,65.871,0,0,0,0
27/04/2019,58.532,0,0,0,0
28/04/2019,58.321,0,0,0,0
29/04/2019,66.803,0,0,0,0
30/04/2019,68.051,0,0,0,0
01/05/2019,67.942,0,0,0,0
02/05/2019,67.778,0,0,0,0
03/05/2019,66.74,0,0,0,0
04/05/2019,58.317,0,0,0,0
05/05/2019,58.557,0,0,0,0
06/05/2019,59.26,0,0,0,0
07/05/2019,67.236,0,0,0,0
08/05/2019,67.757,0,0,0,0
09/05/2019,67.503,0,0,0,0
10/05/2019,65.71,0,0,0,0
11/05/2019,57.837,0,0,0,0
12/05/2019,57.75,0,0,0,0
13/05/2019,66.816,0,0,0,0
14/05/2019,67.638,0,0,0,0
15/05/2019,67.762,0,0,0,0
16/05/2019,67.069,0,0,0,0
17/05/2019,65.563,0,0,0,0
18/05/2019,49.625,0,0,0,0
19/05/2019,56.604,0,0,0,0
20/05/2019,67.294,0,0,0,0
21/05/2019,69.302,0,0,0,0
22/05/2019,68.433,0,0,0,0
23/05/2019,66.069,0,0,0,0
24/05/2019,64.653,0,0,0,0
25/05/2019,56.761,0,0,0,0
26/05/2019,55.982,0,0,0,0
27/05/2019,65.469,0,0,0,0
28/05/2019,66.122,0,0,0,0
29/05/2019,68.127,0,0,0,0
30/05/2019,70.753,0,0,0,0
31/05/2019,67.129,0,0,0,0
01/06/2019,57.766,0,0,0,0
02/06/2019,55.465,0,0,0,0
03/06/2019,57.038,0,0,0,0
04/06/2019,65.838,0,0,0,0
05/06/2019,65.642,0,0,0,0
06/06/2019,64.627,0,0,0,0
07/06/2019,64.17,0,0,0,0
08/06/2019,56.537,0,0,0,0
09/06/2019,55.594,0,0,0,0
10/06/2019,66.064,0,0,0,0
11/06/2019,65.447,0,0,0,0
12/06/2019,66.738,0,0,0,0
13/06/2019,65.432,0,0,0,0
14/06/2019,64.541,0,0,0,0
15/06/2019,48.934,0,0,0,0
16/06/2019,56.389,0,0,0,0
17/06/2019,67.235,0,0,0,0
18/06/2019,67.685,0,0,0,0
19/06/2019,66.457,0,0,0,0
20/06/2019,66.339,0,0,0,0
21/06/2019,66.101,0,0,0,0
22/06/2019,58.442,0,0,0,0
23/06/2019,57.305,0,0,0,0
24/06/2019,70.84,0,0,0,0
25/06/2019,71.193,0,0,0,0
26/06/2019,70.644,0,0,0,0
27/06/2019,77.217,0,0,0,0
28/06/2019,72.996,0,0,0,0
29/06/2019,64.657,0,0,0,0
30/06/2019,61.502,0,0,0,0
01/07/2019,67.572,0,0,0,0
02/07/2019,66.794,0,0,0,0
03/07/2019,69.329,0,0,0,0
04/07/2019,69.532,0,0,0,0
05/07/2019,66.527,0,0,0,0
06/07/2019,59.453,0,0,0,0
07/07/2019,59.26,0,0,0,0
08/07/2019,69.077,0,0,0,0
09/07/2019,69.668,0,0,0,0
10/07/2019,70.632,0,0,0,0
11/07/2019,64.536,0,0,0,0
12/07/2019,68.704,0,0,0,0
13/07/2019,52.299,0,0,0,0
14/07/2019,61.531,0,0,0,0
15/07/2019,71.233,0,0,0,0
16/07/2019,71.304,0,0,0,0
17/07/2019,69.234,0,0,0,0
18/07/2019,67.991,0,0,0,0
19/07/2019,69.149,0,0,0,0
